PakBus,Logger,Tree_Code,Port,Species
,11,C7,1,ACRU
,11,C8,2,ACRU
,11,C10,3,ACRU
,11,C11,4,ACRU
,11,C16,5,FAGR
,11,C18,6,FAGR
,12,C3,1,LITU
,12,C6,2,LITU
,12,C9,3,ACRU
,12,C13,4,FAGR
,12,C14,5,FAGR
,12,C15,6,FAGR
,13,C1,1,LITU
,13,C2,2,LITU
,13,C4,3,LITU
,13,C5,4,LITU
,13,C12,5,ACRU
,13,C17,6,FAGR
,21,F1,1,LITU
,21,F4,2,LITU
,21,F5,3,LITU
,21,F9,4,ACRU
,21,F12,5,FAGR
,21,F16,6,FAGR
,22,F3,1,LITU
,22,F6,2,LITU
,22,F7,3,ACRU
,22,F8,4,ACRU
,22,F13,5,FAGR
,22,F15,6,FAGR
,23,F2,1,LITU
,23,F10,2,ACRU
,23,F11,3,ACRU
,23,F14,4,FAGR
,23,F17,5,FAGR
,23,F18,6,FAGR
,31,S2,1,LITU
,31,S3,2,LITU
,31,S13,3,FAGR
,31,S15,4,FAGR
,31,S16,5,FAGR
,31,S17,6,FAGR
,32,S1,1,LITU
,32,S4,2,LITU
,32,S7,3,ACRU
,32,S8,4,ACRU
,32,S11,5,ACRU
,32,S18,6,FAGR
,33,S5,1,LITU
,33,S6,2,LITU
,33,S9,3,ACRU
,33,S10,4,ACRU
,33,S12,5,ACRU
,33,S14,6,FAGR
,41,L1,1,ACRU
,41,L2,2,ACRU
,41,L3,3,ACRU
,41,L4,4,ACRU
,41,L5,5,ACRU
,41,L6,6,ACRU