Logger_ID,Well_Name,Instrument,Probe_Name,Install,SN,LoggerBox,Plot,Location,Bolt_to_ground,Bolt_to_pressure_sensor,Dist_pressure_sensor_belowground_calc,North,East,Elevation
PNNL_23,GW1,TROLL200,TEMPEST_SF_200_GW1,1,683345,23_200,Freshwater_Seawater,Between Plots,65,245,180,134042.7,438873.34,9.16
PNNL_31,GW2,TROLL200,TEMPEST_S_200_GW2,1,683408,31,Seawater,Outside,62,332,270,134093.02,438831.86,6.57
PNNL_21,GW3,TROLL200,TEMPEST_F_200_GW3,1,683416,21,Freshwater,NE corner,81,357,276,134093.43,438924.18,6.28
PNNL_12,GW4,TROLL200,TEMPEST_C_200_GW4,1,683451,12,Control,SW corner,93,488,395,134158.73,438850.49,7.37
PNNL_32,GW5,TROLL600,TEMPEST_S_600_GW5,1,685410,32,Seawater,Center,71,282,211,134066.69,438854.17,7.68
PNNL_23,GW6,TROLL600,TEMPEST_F_600_GW6,1,685474,23_600,Freshwater,Center,39.5,278,238.5,134067.7,438899.38,7.19
PNNL_13,GW7,TROLL600,TEMPEST_C_600_GW7,1,685442,13,Control,Center,65,465,400,134170.08,438873,5.29
PNNL_41,GW8,TROLL200,TEMPEST_L_200_GW8,1,683379,41,Shoreline,Shoreline,60,160,100,134165.39,438936.93,1.22
PNNL_32,GW9,TROLL600,TEMPEST_S_600_GW5,2,685410,32,Seawater,Center,81,509,428,134066.69,438854.17,7.68
PNNL_23,GW10,TROLL600,TEMPEST_F_600_GW6,2,685474,23_600,Freshwater,Center,81,509,428,134067.7,438899.38,7.19
PNNL_13,GW11,TROLL600,TEMPEST_C_600_GW7,2,685442,13,Control,Center,85,516,431,134170.08,438873,5.29