 Plot,Tree_Code,Port,Species,Tag,PakBus,Logger,Grid_Square,Installation_Date
Control,C7,1,ACRU,1439,41,11,B3,19-Mar-21
Control,C19,2,ACRU,1451,41,11,A1,3-Jun-22
Control,C10,3,ACRU,1387,41,11,D4,17-Mar-21
Control,C11,4,ACRU,1395,41,11,F2,17-Mar-21
Control,C16,5,FAGR,1390,41,11,E4,28-Apr-22
Control,C18,6,FAGR,1452,41,11,NA,17-Mar-21
Control,CD10,7,ACRU,1387,41,11,D4,7-Apr-21
Control,C3,1,LITU,1425,42,12,C5,1-Jul-21
Control,C6,2,LITU,1411,42,12,B7,8-Mar-23
Control ,C9,3,ACRU,1456,42,12,NA,17-Mar-21
Control,C13,4,FAGR,1407,42,12,B8,17-Mar-21
Control,C14,5,FAGR,1412,42,12,B7,8-Mar-23
Control,C15,6,FAGR,1432,42,12,A4,
Control,CD6,7,LITU,1411,42,12,B7,7-Apr-21
Control,CD14,8,FAGR,1412,42,12,B7,7-Apr-21
Control,C1,1,LITU,1384,43,13,F5,19-Mar-21
Control,C2,2,LITU,1385,43,13,F5,5-Aug-22
Control,C4,3,LITU,1325,43,13,H4,19-Mar-21
Control,C5,4,LITU,1330,43,13,I3,10-Jun-22
Control,C12,5,ACRU,1328,43,13,G3,
Control,C17,6,FAGR,1380,43,13,F6,7-Jun-22
Control,CD12,9,ACRU,1328,43,13,G3,7-Apr-21
Control,CD16,10,FAGR,1390,43,13,E4,4-Jun-21
Control,CD3,11,LITU,1425,42,13,C5,7-Jun-21
Freshwater,F1,1,LITU,1578,44,21,H5,8-Mar-23
Freshwater,F4,2,LITU,1561,44,21,E2,16-Mar-21
Freshwater,F5,3,LITU,1591,44,21,G3,16-Mar-21
Freshwater,F9,4,ACRU,1592,44,21,G3,
Freshwater,F12,5,ACRU,1563,44,21,F2,16-Mar-21
Freshwater,F16,6,FAGR,1596,44,21,H4,
Freshwater,FD5,7,LITU,1591,44,21,G3,2-Jun-21
Freshwater,FD17,9,FAGR,1580,44,21,I6,2-Jun-21
Freshwater,FD9,10,ACRU,1592,44,21,G3,2-Jun-21
Freshwater,F20,12,ACRU,1573,44,21,I7,3-Jun-22
Freshwater,F3,1,LITU,1552,45,22,D5,7-Jun-22
Freshwater,F6,2,LITU,1551,45,22,D6,16-Mar-21
Freshwater,F7,3,ACRU,1520,45,22,B5,16-Mar-21
Freshwater,F8,4,ACRU,1521,45,22,B4,16-Mar-21
Freshwater,F13,5,FAGR,1519,45,22,D6,8-Mar-23
Freshwater,F15,6,FAGR,1516,45,22,A6,16-Mar-21
Freshwater,FD7,7,ACRU,1520,45,22,B5,1-Jun-21
Freshwater,F19,8,ACRU,1559,45,22,D2,3-Jun-22
Freshwater,F2,1,LITU,1576,46,23,G6,16-Mar-21
Freshwater,F10,2,ACRU,1546,46,23,F8,1-Jul-21
Freshwater,F11,3,ACRU,1548,46,23,F6,16-Mar-21
Freshwater,F14,4,FAGR,1543,46,23,D7,16-Mar-21
Freshwater,F17,5,FAGR,1580,46,23,I6,
Freshwater,F18,6,FAGR,1569,46,23,H8,
Saltwater,S2,1,LITU,1790,47,31,C5,17-Mar-21
Saltwater,S3,2,LITU,1783,47,31,E5,
Saltwater,S13,3,FAGR,1848,47,31,A2,
Saltwater,S15,4,FAGR,1829,47,31,E4,17-Mar-21
Saltwater,S16,5,FAGR,1839,47,31,C2,
Saltwater,S17,6,FAGR,1868,47,31,D1,
Saltwater,SD2,7,LITU,1790,47,31,C5,2-Jun-21
Saltwater,SD16,8,FAGR,1839,47,31,C2,2-Jun-21
Saltwater,S1,1,LITU,1771,48,32,F7,3-Jun-22
Saltwater,S4,2,LITU,1781,48,32,E6,17-Mar-21
Saltwater,S7,3,ACRU,1733,48,32,D7,17-Mar-21
Saltwater,S8,4,ACRU,1788,48,32,C6,17-Mar-21
Saltwater,S11,5,ACRU,1772,48,32,F6,17-Mar-21
Saltwater,S18,6,FAGR,1780,48,32,E5,17-Mar-21
Saltwater,S20,7,ACRU,1749,48,32,B7,8-Mar-23
Saltwater,SD3,8,LITU,1783,48,32,E5,2-Jun-21
Saltwater,S5,1,LITU,1778,49,33,F5,17-Mar-21
Saltwater,S6,2,LITU,1773,49,33,G6,4-Mar-22
Saltwater,S9,3,ACRU,1865,49,33,F2,
Saltwater,S10,4,ACRU,1775,49,33,G5,
Saltwater,S12,5,ACRU,1776,49,33,F4,
Saltwater,S14,6,FAGR,1851,49,33,I2,1-Jun-23
Saltwater,SD14,9,FAGR,1851,49,33,I2,2-Jun-21
Saltwater,SD12,10,ACRU,1776,49,33,F4,2-Jun-21
Saltwater,SD9,11,ACRU,1865,49,33,F2,2-Jun-21
Saltwater,S19,12,ACRU,1835,49,33,D2,3-Jun-22