Collar,Plot,Group,Treatment,LI8100A_Port
1,Control,1,Control,
2,Control,1,Disturbance,
3,Control,1,1 µm,
4,Control,1,45 µm,
5,Control,2,Control,
6,Control,2,Disturbance,
7,Control,2,1 µm,
8,Control,2,45 µm,
9,Control,3,Control,
10,Control,3,Disturbance,
11,Control,3,1 µm,
12,Control,3,45 µm,
13,Control,4,Control,
14,Control,4,Disturbance,
15,Control,4,1 µm,
16,Control,4,45 µm,
17,Salt,5,Control,
18,Salt,5,Disturbance,
19,Salt,5,1 µm,
20,Salt,5,45 µm,
21,Salt,6,Control,
22,Salt,6,Disturbance,
23,Salt,6,1 µm,
24,Salt,6,45 µm,
25,Salt,7,Control,
26,Salt,7,Disturbance,
27,Salt,7,1 µm,
28,Salt,7,45 µm,
29,Salt,8,Control,
30,Salt,8,Disturbance,
31,Salt,8,1 µm,
32,Salt,8,45 µm,
33,Fresh,9,Control,
34,Fresh,9,Disturbance,
35,Fresh,9,1 µm,
36,Fresh,9,45 µm,
37,Fresh,10,Control,
38,Fresh,10,Disturbance,
39,Fresh,10,1 µm,
40,Fresh,10,45 µm,
41,Fresh,11,Control,
42,Fresh,11,Disturbance,
43,Fresh,11,1 µm,
44,Fresh,11,45 µm,
45,Fresh,12,Control,
46,Fresh,12,Disturbance,
47,Fresh,12,1 µm,
48,Fresh,12,45 µm,